kepid,kepoi_name,ra_str,dec_str,koi_pdisposition,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,koi_vet_stat,koi_vet_date
5817613,K04256.01,19h53m56.22s,+41d04m09.2s,FALSE POSITIVE,FALSE POSITIVE,4.205857,6.8e-05,-6.8e-05,132.29,0.01,-0.01,291,24,-24,7.4,1.1,-1.1,0.2,1.5,-1.5,0.5,6.1,-6.1,82,125,-125,0.0507287,5.5e-07,-5.5e-07,0,,,,,,0.016,0.018,-0.018,4,15,-15,1.4,1.6,-1.6,958.1,0.0,-0.0,,,,,,,,,,0.8260,0.0000,0.0000,,,,,,,,Active,2013-09-05
7901016,K04257.01,19h40m31.99s,+43d37m53.2s,CANDIDATE,CANDIDATE,41.67791,0.00081,-0.00081,169.801,0.011,-0.011,128,11,-11,9.4,1.1,-1.1,0.1,1.6,-1.6,0,246,-246,90,411,-411,0.240219,3.1e-06,-3.1e-06,0,,,,,,0.01,0.017,-0.017,34,251,-251,2,3.3,-3.3,694.0,84.0,-84.0,,,,,,,,,,1.8070,0.0000,0.0000,,,,,,,,Active,2013-09-12
7115925,K04258.01,19h24m51.21s,+42d37m32.2s,FALSE POSITIVE,FALSE POSITIVE,0.566832,1.2e-05,-1.2e-05,131.7776,0.0022,-0.0022,18,2.4,-2.4,1.62,0.7,-0.7,0.024,0.04,-0.04,0.84,0.34,-0.34,55,37,-37,0.0140662,2e-07,-2e-07,0,,,,,,0.00439,0.00084,-0.00084,1.47,0.76,-0.76,0.66,0.13,-0.13,2742.0,549.0,-549.0,,,,,,,,,,1.3860,0.0000,0.0000,,,,,,,,Active,2013-09-05
5785279,K04259.01,19h20m02.99s,+41d05m24.0s,CANDIDATE,CANDIDATE,0.909178,1.2e-05,-1.2e-05,132.3828,0.002,-0.002,107,16,-16,1.19,0.2,-0.2,0.09,0.68,-0.68,0.93,0.56,-0.56,67,86,-86,0.0171853,1.6e-07,-1.6e-07,0,,,,,,0.0118,0.0091,-0.0091,2.4,7,-7,1.17,0.9,-0.9,1740.0,609.0,-609.0,,,,,,,,,,0.9100,0.0000,0.0000,,,,,,,,Active,2013-06-06
7429287,K04260.01,19h05m35.00s,+43d04m33.0s,FALSE POSITIVE,FALSE POSITIVE,371.551,0.011,-0.011,297.04,0.013,-0.013,141,17,-17,11.9,1.7,-1.7,0.1,2,-2,0,18,-18,89.9,5.1,-5.1,0.992661,2e-05,-2e-05,0,,,,,,0.011,0.015,-0.015,229,1452,-1452,1.1,1.6,-1.6,251.0,38.0,-38.0,,,,,,,,,,0.9520,0.0000,0.0000,,,,,,,,Active,2013-07-31
10526887,K04261.01,19h13m12.48s,+47d46m32.0s,CANDIDATE,CANDIDATE,1.450904,1.1e-05,-1.1e-05,132.2231,0.0027,-0.0027,129,14,-14,1.77,0.14,-0.14,0.09,0.56,-0.56,0.87,0.85,-0.85,74,62,-62,0.0253235,1.3e-07,-1.3e-07,0,,,,,,0.012,0.0072,-0.0072,3.2,8.9,-8.9,1.34,0.81,-0.81,1691.0,366.0,-366.0,,,,,,,,,,1.0200,0.0000,0.0000,,,,,,,,Active,2013-06-06
11125613,K02485.03,19h00m41.60s,+48d46m12.1s,CANDIDATE,CANDIDATE,5.727087,4.1e-05,-4.1e-05,133.9696,0.0038,-0.0038,345,30,-30,2.2,0.43,-0.43,0.06,0.7,-0.7,0.6,4.5,-4.5,88,28,-28,0.0572022,2.8e-07,-2.8e-07,0,,,,,,0.018,0.024,-0.024,16,75,-75,1.5,1.9,-1.9,818.0,191.0,-191.0,,,,,,,,,,0.7510,0.0000,0.0000,,,,,,,,Active,2013-06-06
9641144,K04262.01,19h12m21.62s,+46d19m22.6s,FALSE POSITIVE,FALSE POSITIVE,1.089097,1e-05,-1e-05,132.019,0.0027,-0.0027,44.4,5.1,-5.1,1.96,0.45,-0.45,0.01,0.13,-0.13,0,25,-25,87,355,-355,0.0219277,1.4e-07,-1.4e-07,0,,,,,,0.0062,0.0056,-0.0056,4,19,-19,0.76,0.69,-0.69,2047.0,223.0,-223.0,,,,,,,,,,1.1360,0.0000,0.0000,,,,,,,,Active,2013-09-05
8572168,K04263.01,19h44m49.39s,+44d39m37.6s,FALSE POSITIVE,FALSE POSITIVE,1.662688,1.7e-05,-1.7e-05,132.4521,0.0046,-0.0046,51,6.7,-6.7,1.73,0.91,-0.91,3,93,-93,0.999,0.067,-0.067,37,29,-29,0.0274729,1.9e-07,-1.9e-07,0,,,,,,0.013,0.042,-0.042,1.25,0.39,-0.39,1.5,4.6,-4.6,1538.4,0.0,-0.0,,,,,,,,,,1.0000,0.0000,0.0000,,,,,,,,Active,2013-07-31
12509829,K04264.01,19h24m14.80s,+51d24m17.2s,FALSE POSITIVE,FALSE POSITIVE,0.8884584,8.2e-06,-8.2e-06,131.8777,0.0019,-0.0019,283,36,-36,1.38,0.1,-0.1,0.55,0.8,-0.8,0.981,0.032,-0.032,46,12,-12,0.0175258,1.1e-07,-1.1e-07,0,,,,,,0.022,0.01,-0.01,1.42,0.27,-0.27,1.95,0.9,-0.9,1659.0,262.0,-262.0,,,,,,,,,,0.8060,0.0000,0.0000,,,,,,,,Active,2013-07-31
7368137,K04265.01,19h33m41.67s,+42d55m03.5s,FALSE POSITIVE,FALSE POSITIVE,2.18256,2.4e-05,-2.4e-05,132.3579,0.005,-0.005,81,7.1,-7.1,4.1,1,-1,0.06,0.38,-0.38,0.6,3.2,-3.2,79,90,-90,0.032855,2.4e-07,-2.4e-07,0,,,,,,0.0086,0.0059,-0.0059,3.2,9.3,-9.3,0.84,0.57,-0.57,1345.0,266.0,-266.0,,,,,,,,,,0.8900,0.0000,0.0000,,,,,,,,Active,2013-09-05
9027841,K04266.01,19h35m48.53s,+45d19m05.7s,FALSE POSITIVE,FALSE POSITIVE,0.50399440527,0,0,131.6343103,0,0,1929.93,0,0,1.5,0,0,0.0573199,0,0,0.1,0,0,87.84,0,0,0.011218,0,0,0,,,,,,0.039333946,0,0,2.65540857,0,0,3.18483,0,0,1812.3,0.0,0.0,,,,,,,,,,0.7420,0.0000,0.0000,,,,,,,,Active,2013-07-31
