,Classification Error Rate,RMS Error,TP Rate,FP Rate,Precision,Recall,ROC AUC,Kappa
AdaBoost (Na•ve Bayes Weak Classifier),14.5423,0.3416,0.855,0.202,0.937,0.855,0.887,0.3571
AdaBoost (Random Forest Weak Classifier),3.2079,0.1687,0.968,0.278,0.967,0.968,0.875,0.727
AdaBoost (Logistic Regression Weak Classifier),3.2506,0.1687,0.967,0.314,0.966,0.967,0.882,0.7134
Bagging,4.3199,0.178,0.957,0.423,0.953,0.957,0.93,0.6049
Na•ve Bayes,26.3045,0.48,0.737,0.091,0.939,0.737,0.916,0.2332
RandomForest,2.7374,0.1626,0.973,0.344,0.972,0.973,0.934,0.7399
Simple Logistic Regression,3.55,0.1751,0.964,0.404,0.962,0.964,0.936,0.6615
