ra_str,dec_str,koi_disposition,koi_period,koi_time0bk,koi_depth,koi_duration,koi_ingress,koi_impact,koi_incl,koi_sma,koi_eccen,koi_ror,koi_dor,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage,koi_sparprov,koi_vet_date
19h04m54.50s,+44d25m49.2s,FALSE POSITIVE,372.948,217.834,299,13.9,0.3,0,89.9,1.00494,0,0.016,190,1.5,237,NA,NA,0.867,NA,NA,,7/31/13
19h06m07.87s,+44d33m16.4s,FALSE POSITIVE,373.748,178.139,560,10.6,0.3,0,89.9,1.01773,0,0.022,261,2.3,257,NA,NA,0.969,NA,NA,,7/31/13
19h58m25.98s,+41d16m06.0s,FALSE POSITIVE,0.6410986,132.1274,123,1.2,0.028,0.74,75,0.0149134,0,0.011,2.8,1.22,2117.1,NA,NA,1.016,NA,NA,,7/31/13
19h56m20.78s,+45d46m36.6s,FALSE POSITIVE,1.214822,131.7459,207,3.8,0.07,0.5,76,0.0271687,0,0.0137,2.1,5,3299,NA,NA,3.35,NA,NA,,7/31/13
19h19m54.28s,+38d27m01.8s,FALSE POSITIVE,0.498446,131.5914,50.2,0.99,0.015,0.73,74,0.0116971,0,0.0071,2.7,0.64,2024,NA,NA,0.825,NA,NA,,7/31/13
19h30m58.78s,+41d56m05.5s,FALSE POSITIVE,1.710292,131.6116,33.3,2.6,0.19,0.96,52,0.0287765,0,0.0067,1.6,0.81,1704,NA,NA,1.118,NA,NA,,9/5/13
19h24m35.54s,+40d40m09.8s,CONFIRMED,339.4293408,187.5194914,355.324,7.5,0.126984,0.1,89.98,0.924437,0,0.017050528,349.931089,1.50895,230,NA,NA,0.811,NA,NA,,7/31/13
18h54m53.71s,+40d14m15.2s,FALSE POSITIVE,0.6962643,131.887,108,1.93,0.03,0.6,76,0.0154142,0,0.0099,2.3,0.98,2003,NA,NA,0.909,NA,NA,,9/5/13
19h41m40.91s,+40d50m33.6s,FALSE POSITIVE,3.675331,131.6505,52.9,6.16,0.05,0.4,84,0.0472477,0,0.0068,4,0.81,1288,NA,NA,1.087,NA,NA,,9/5/13
19h48m52.91s,+47d44m53.7s,FALSE POSITIVE,0.7158283,132.0619,71,0.961,0.026,0.83,75,0.0150489,0,0.0088,3.3,0.85,1900,NA,NA,0.889,NA,NA,,7/31/13
19h01m01.48s,+41d35m44.1s,FALSE POSITIVE,0.984568238,132.3968105,4060.03,1.5,0.0812866,0.1,88.91,0.0184296,0,0.056722192,5.27501124,5.30456,1443.4,NA,NA,0.857,NA,NA,,7/31/13
19h23m27.85s,+40d54m05.7s,FALSE POSITIVE,1.0388699,132.3935,222,3,0.04,0,89,0.0223692,0,0.0138,2.7,2.03,2414,NA,NA,1.347,NA,NA,,7/31/13
19h40m37.31s,+44d17m41.5s,FALSE POSITIVE,293.814,258.036,462,15.3,0.3,0,89.9,0.887417,0,0.02,143,2.1,286,NA,NA,0.991,NA,NA,,7/31/13
19h49m42.58s,+39d46m52.1s,FALSE POSITIVE,1.878905,133.0668,74.2,2.41,0.02,0,89,0.0297049,0,0.008,6,0.8,1421,NA,NA,0.897,NA,NA,,9/5/13
19h55m41.67s,+40d44m58.3s,FALSE POSITIVE,0.7854919,131.85028,166,0.88,0.11,0.94,68,0.0154692,0,0.0152,2.5,1.44,1760,NA,NA,0.865,NA,NA,,7/31/13
19h27m18.46s,+41d42m35.6s,FALSE POSITIVE,5.24367,132.705,124,12,0.1,0,87,0.0599678,0,0.01,3,1.1,997.9,NA,NA,0.989,NA,NA,,9/5/13
19h37m21.23s,+50d20m11.5s,FALSE POSITIVE,0.646738,132.0227,123,0.97,0.2,0.972,48,0.0151331,0,0.0135,1.45,1.54,2230.4,NA,NA,1.045,NA,NA,,7/31/13
19h22m34.32s,+48d53m15.0s,FALSE POSITIVE,2.753566,133.8775,217,2.57,0.04,0,88,0.0401428,0,0.014,8,1.9,1520.3,NA,NA,1.243,NA,NA,,7/31/13
19h28m39.57s,+37d16m32.7s,FALSE POSITIVE,1.975222,131.6259,79.5,1.59,0.028,0.7,84,0.0320203,0,0.0088,7,1.3,1778,NA,NA,1.352,NA,NA,,9/12/13
19h42m13.81s,+46d10m20.1s,FALSE POSITIVE,0.9608637,131.7607,102,1.33,1.1,0.995,30,0.0179884,0,0.017,1.15,1.8,1796,NA,NA,0.979,NA,NA,,9/5/13
19h19m39.92s,+43d30m27.6s,FALSE POSITIVE,4.292517,131.7864,300,3.2,0.2,0.8,82,0.0524174,0,0.018,6,1.5,992.4,NA,NA,0.762,NA,NA,,9/5/13
19h42m14.30s,+46d10m40.9s,FALSE POSITIVE,0.9608335,131.78234,136,0.736,0.015,0.68,85,0.0218765,0,0.0116,7.5,2.09,2836,NA,NA,1.653,NA,NA,,7/31/13
19h38m59.97s,+49d39m48.4s,FALSE POSITIVE,14.58975,136.167,53.5,15.54,0.1,0,90,0.119372,0,0.0067,7,0.78,810,NA,NA,1.066,NA,NA,,9/5/13
19h48m38.83s,+41d46m33.0s,FALSE POSITIVE,24.91034,143.037,227,3.4,0.1,0,90,0.186695,0,0.014,51,2.9,925,NA,NA,1.887,NA,NA,,7/31/13
19h27m37.21s,+47d05m41.7s,FALSE POSITIVE,360.353,159.322,1033,16,0.5,0.4,89.9,0.911201,0,0.029,166,2.2,192,NA,NA,0.681,NA,NA,,7/31/13
19h32m44.18s,+42d31m40.9s,FALSE POSITIVE,0.5668304,131.7784,189,1.24,0.05,0.81,67,0.0136554,0,0.0141,2.1,1.47,2237,NA,NA,0.956,NA,NA,,9/5/13
19h26m20.44s,+42d22m02.0s,FALSE POSITIVE,357.0563,341.2606,3105,8.19,0.67,0.63,89.87,0.969249,0,0.0535,281,4.94,235,NA,NA,0.846,NA,NA,,9/5/13
19h54m08.52s,+48d25m10.1s,FALSE POSITIVE,0.9744775,132.369,196,1.451,0.31,0.966,54,0.0173156,0,0.0176,1.64,1.39,1425,NA,NA,0.725,NA,NA,,9/5/13
19h36m21.35s,+39d07m41.2s,FALSE POSITIVE,0.7351569,132.22777,74.5,1.35,0.06,0.89,63,0.01719,0,0.0092,2,1.21,2448,NA,NA,1.205,NA,NA,,7/31/13
19h35m13.61s,+44d52m02.5s,FALSE POSITIVE,0.827336,131.9298,33.6,1.75,0.01,0.3,85,0.0164738,0,0.0053,3.5,0.66,2050,NA,NA,1.131,NA,NA,,7/31/13
19h21m55.03s,+43d30m19.0s,FALSE POSITIVE,0.6189592,131.58458,463,1.44,0.09,0.83,65,0.0142169,0,0.022,2,2.4,2138.6,NA,NA,1,NA,NA,,9/5/13
19h46m26.59s,+49d34m01.3s,FALSE POSITIVE,1.3172112,132.1649,173.9,3.52,0.04,0,90,0.0255046,0,0.0122,2.9,1.71,2100,NA,NA,1.283,NA,NA,,7/31/13
20h00m45.27s,+46d11m08.8s,FALSE POSITIVE,7.75606,134.4351,631,13.27,0.3,0.3,86,0.0766348,0,0.023,4.3,2.22,808.1,NA,NA,0.884,NA,NA,,7/31/13
19h19m12.77s,+38d22m00.1s,FALSE POSITIVE,0.730976,132.2092,70,0.98,1,0.998,15.6,0.0167442,0,0.014,1.0364,1.8,2328,NA,NA,1.132,NA,NA,,9/5/13
19h28m32.89s,+42d25m45.9s,CONFIRMED,5.912262,172.1849,957,2.5058,NA,0.77,86.52,0.056,0,0.0311,12.4,2.17,694,4663,4.65,0.638,0.662,14,Pinsonneault,10/25/13
19h28m32.89s,+42d25m45.9s,CONFIRMED,8.9857,175.6861,869,3.0259,NA,0.73,87.66,0.074,0,0.029,16.4,2.02,604,4663,4.65,0.638,0.662,14,Pinsonneault,10/25/13
19h37m36.46s,+50d10m19.5s,FALSE POSITIVE,20.545648,137.90619,735,2.2803,NA,1.03,87.09,0.141,0,0.073,19.8,9.6,725,5632,4.22,1.2,0.88,14,Pinsonneault,10/25/13
19h17m04.50s,+42d36m15.0s,CONFIRMED,33.601789,186.67604,7360,4.3739,NA,0.75,88.81,0.191,0,0.0858,46.1,7.2,466,5289,4.59,0.76,0.82,4.5,Pinsonneault,10/25/13
19h11m32.19s,+42d49m56.8s,FALSE POSITIVE,6.99809945,171.8982,21326,1.8194,NA,0.94,87.09,0.07,0,0.199,19.7,17.8,847,5609,4.58,0.82,0.93,0.4,Pinsonneault,10/25/13
19h21m20.07s,+37d54m40.2s,FALSE POSITIVE,1.891304,132.6728,189,3.09,0.04,0,90,0.025652,0,0.012,5,0.79,962,NA,NA,0.601,NA,NA,,9/5/13
19h31m41.84s,+38d26m32.2s,FALSE POSITIVE,2.435875,132.8915,72.3,2.27,0.13,0.92,74,0.0377406,0,0.0093,3.4,1.37,1715,NA,NA,1.349,NA,NA,,7/31/13
19h30m25.66s,+45d42m05.1s,FALSE POSITIVE,1.332567,132.0593,153,2.88,0.03,0,87,0.0240574,0,0.011,4,1.2,1675,NA,NA,0.952,NA,NA,,9/5/13
19h26m16.25s,+38d16m01.6s,FALSE POSITIVE,359.075,415.343,644,12.7,0.3,0,90,1.04171,0,0.023,221,2.8,290,NA,NA,1.1,NA,NA,,9/5/13
19h54m42.55s,+41d38m25.0s,FALSE POSITIVE,0.9418554,131.8003,175,2.04,0.029,0.4,83,0.0198195,0,0.0124,3.3,1.66,2239,NA,NA,1.232,NA,NA,,7/31/13
19h19m09.92s,+40d17m58.0s,FALSE POSITIVE,0.7832836,131.7259,243,1.69,0.22,0.94,49,0.0161337,0,0.0184,1.41,1.91,1655.8,NA,NA,0.952,NA,NA,,7/31/13
19h21m11.10s,+47d59m25.3s,FALSE POSITIVE,1.231315,131.8197,1047,2.86,0.58,0.924,53,0.0224876,0,0.0363,1.54,3.96,1700.4,NA,NA,1,NA,NA,,9/5/13
19h22m56.07s,+48d12m26.6s,FALSE POSITIVE,0.9523547,132.3414,134,1.69,0.33,0.968,42,0.0164926,0,0.0148,1.3,1.03,1273,NA,NA,0.634,NA,NA,,9/5/13
19h23m09.69s,+41d15m52.6s,FALSE POSITIVE,393.3216,264.788,2179,11.6,0.7,0.6,89.86,0.871488,0,0.044,230,2.6,146.1,NA,NA,0.544,NA,NA,,7/31/13
19h19m55.43s,+43d17m58.2s,FALSE POSITIVE,0.6213586,131.6695,38.6,0.972,0.015,0.78,76,0.0147112,0,0.0063,3.1,0.81,2469,NA,NA,1.186,NA,NA,,7/31/13
19h22m26.45s,+41d28m13.4s,FALSE POSITIVE,250.238,260.306,1175,16.6,0.7,0.5,89.7,0.694477,0,0.032,102,2.4,215,NA,NA,0.688,NA,NA,,7/31/13
19h34m32.87s,+42d49m29.9s,CONFIRMED,5.954893,170.95639,1408,2.5225,NA,0.81,85.94,0.056,0,0.0392,11.7,2.54,646,4500,4.7,0.594,0.648,6.8,SME,10/25/13
19h34m32.87s,+42d49m29.9s,CONFIRMED,12.039901,181.2235,1241,2.9369,NA,0.85,87.66,0.089,0,0.0379,18.7,2.45,513,4500,4.7,0.594,0.648,6.8,SME,10/25/13
19h37m50.61s,+38d23m00.5s,FALSE POSITIVE,8.811135,136.4533,386,3.9481,NA,0.9247,83.08,0.094,0,0.02162,7.47,5.48,1358,6197,3.87,2.32,1.45,2.8,SPC,10/25/13
19h31m29.61s,+42d57m58.1s,CONFIRMED,26.44288,194.1314,1766,3.9942,NA,0.641,89.38,0.169,0,0.0404,41.47,4,581,5700,4.49,0.9,0.922,4.9,Pinsonneault,10/25/13
19h31m29.61s,+42d57m58.1s,CONFIRMED,51.53005,174.1215,3603,6.4115,NA,0.0291,89.95,0.264,0,0.05404,64.7,5.3,464,5700,4.49,0.9,0.922,4.9,Pinsonneault,10/25/13
19h43m20.49s,+42d56m35.0s,FALSE POSITIVE,1.9568102,170.69388,25313,2.1714,NA,0.925,80.21,0.029,0,0.203,5.39,18,1238,5369,4.57,0.79,0.84,5.4,Pinsonneault,10/25/13
18h57m23.61s,+40d43m41.7s,FALSE POSITIVE,0.7550881,131.8165,150,2.9,0.03,0,83,0.0153978,0,0.011,2,1,1771,NA,NA,0.833,NA,NA,,9/5/13
19h01m39.65s,+39d46m33.6s,FALSE POSITIVE,2.814307,133.0171,33.1,3.71,0.02,0,89,0.0376699,0,0.0052,6,0.8,1491,NA,NA,1.395,NA,NA,,9/5/13
19h38m33.79s,+43d27m14.1s,FALSE POSITIVE,205.3308,186.207,865,17.5,0.5,0,90,0.691758,0,0.027,91,2.8,311,NA,NA,0.945,NA,NA,,7/31/13
19h31m58.39s,+38d19m10.2s,FALSE POSITIVE,0.9780741,131.67481,141,1.267,0.024,0.6,82,0.0224525,0,0.0115,4.6,5.4,3120,NA,NA,4.315,NA,NA,,7/31/13
19h37m14.13s,+46d24m47.0s,FALSE POSITIVE,1.332577,132.0404,441,3.8,0.07,0,90,0.022737,0,0.019,3,1.6,1275.2,NA,NA,0.776,NA,NA,,9/12/13
