ra_str,dec_str,koi_disposition,koi_period,koi_time0bk,koi_depth,koi_duration,koi_ingress,koi_impact,koi_incl,koi_sma,koi_eccen,koi_ror,koi_dor,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage,koi_sparprov,koi_vet_date
19h51m55.50s,+41d26m41.5s,FALSE POSITIVE,15.451512,142.2163,304,3.6588,NA,0.03,89.95,0.145,0,0.0141,48.2,3,1270,7848,4.09,1.95,1.71,1.05,Pinsonneault,10/25/13
19h56m05.02s,+44d10m21.9s,FALSE POSITIVE,89.6981594,176.305283,271763,5.4596,NA,1.02,89.95,0.43,0,0.76,180,154,577,6276,4.02,1.86,1.32,3.3,Pinsonneault,10/25/13
19h17m37.38s,+44d31m01.0s,FALSE POSITIVE,5.8018767,357.45306,41498,3.6082,NA,0.781,85.37,0.063,0,0.21902,9.896,17.1,834,5613,4.73,0.71,1,NA,KIC,10/25/13
19h27m36.57s,+44d41m01.4s,FALSE POSITIVE,85.34088,386.21109,43580,10.5934,NA,0.864,89.38,0.385,0,0.2437,55.06,22.3,374,5745,4.61,0.84,1.04,NA,KIC,10/25/13
19h21m04.24s,+44d42m46.3s,FALSE POSITIVE,0.7820455,134.02072,15962,1.4911,NA,1,64.74,0.017,0,0.215,2.34,24,2070,6098,4.46,1.01,1.06,1.6,Pinsonneault,10/25/13
19h14m48.21s,+44d42m27.6s,FALSE POSITIVE,0.57608036,134.10521,9769,1.2331,NA,1.05,50.42,0.013,0,0.211,1.65,19.4,2026,5697,4.56,0.84,0.948,0.6,Pinsonneault,10/25/13
18h57m07.81s,+44d59m14.0s,FALSE POSITIVE,0.88574975,134.48359,5136,3.7669,NA,0.9521,46.98,0.017,0,0.0942,1.396,8.2,1660,5488,4.58,0.8,0.889,1.6,Pinsonneault,10/25/13
20h05m25.22s,+44d29m32.2s,FALSE POSITIVE,3.611528,357.253,2944,6.219,NA,1.01,48.13,0.045,0,0.107,1.52,10.5,984,5011,4.51,0.89,0.93,NA,KIC,10/25/13
19h56m17.73s,+44d25m54.0s,FALSE POSITIVE,5.082748,137.2576,1753,6.0492,NA,0.75,80.21,0.052,0,0.0411,4.4,3.4,777,4616,4.528,0.758,0.707,NA,J-K,10/25/13
20h04m10.17s,+45d01m22.4s,FALSE POSITIVE,9.9916243,137.44738,3493,3.0403,NA,1.14,82.51,0.089,0,0.224,8.6,27,913,5853,4.32,1.11,0.95,8.4,Pinsonneault,10/25/13
19h34m28.18s,+45d01m00.1s,FALSE POSITIVE,1.5065044,178.18532,772,3.1726,NA,0.027,89.38,0.021,0,0.0247,3.81,1.41,887,4032,4.74,0.522,0.546,13.9,Pinsonneault,10/25/13
19h45m35.13s,+44d57m46.9s,FALSE POSITIVE,5.297185,177.9563,835,4.0223,NA,0.02,89.95,0.048,0,0.026,10.43,1.7,608,3877,4.587,0.606,0.518,NA,J-K,10/25/13
19h51m55.01s,+48d33m13.9s,FALSE POSITIVE,15.608584,144.3011,293,4.6975,NA,0.978,80.21,0.149,0,0.02191,5.88,5.3,1354,7982,4.01,2.2,1.83,0.99,Pinsonneault,10/25/13
19h40m08.31s,+48d52m55.8s,FALSE POSITIVE,4.4944922,134.7761,248,1.8577,NA,1.14,71.62,0.054,0,0.16,3.6,44,1501,5000,3.66,2.5,1.05,8.6,Pinsonneault,10/25/13
19h49m31.57s,+48d33m54.1s,FALSE POSITIVE,2.6217032,131.88283,4549,1.6087,NA,0.96,80.21,0.038,0,0.095,5.7,10.5,1254,5523,4.45,1.01,1.04,NA,KIC,10/25/13
19h00m15.21s,+44d10m04.4s,FALSE POSITIVE,1.1873524,133.46492,19688,3.9724,NA,0.8331,65.89,0.023,0,0.14973,2.0458,19.09,1939,6169,4.358,1.168,1.135,NA,J-K,10/25/13
19h40m09.42s,+44d11m27.8s,FALSE POSITIVE,4.02063071,133.63757,21267,3.6692,NA,0.828,81.93,0.051,0,0.16042,5.738,17.6,1212,6186,4.47,1.01,1.09,0.3,Pinsonneault,10/25/13
20h03m28.08s,+44d08m43.0s,FALSE POSITIVE,2.8974251,450.7579,1441,3.1872,NA,0.97,69.9,0.044,0,0.0508,2.83,17,2109,5718,3.6,3.08,1.36,NA,KIC,10/25/13
19h42m02.66s,+44d06m33.3s,FALSE POSITIVE,1.0920693,133.1925,224,1.7717,NA,0.08,88.81,0.02,0,0.0134,4.8,1.2,1586,5597,4.57,0.82,0.92,1.2,Pinsonneault,10/25/13
20h01m18.96s,+44d09m04.0s,FALSE POSITIVE,1.6130154,178.5219,158,3.0781,NA,0.023,89.38,0.025,0,0.0112,3.82,0.99,1251,4980,4.498,0.811,0.756,NA,J-K,10/25/13
19h58m48.19s,+47d17m30.3s,FALSE POSITIVE,1.34376795,133.27507,4967,1.7276,NA,0.906,72.19,0.024,0,0.08213,2.936,9.4,1736,5955,4.404,1.048,1.016,NA,J-K,10/25/13
19h49m33.76s,+47d15m20.6s,FALSE POSITIVE,29.125659,142.1524,3764,5.9717,NA,0.9,87.09,0.161,0,0.0694,18.77,4.81,407,4655,4.65,0.634,0.66,13.7,Pinsonneault,10/25/13
19h18m51.52s,+47d20m32.0s,FALSE POSITIVE,1.1039682,354.5823,313,0.9771,NA,0.23,88.24,0.02,0,0.0163,8.6,1.22,1345,5209,4.73,0.69,0.92,NA,KIC,10/25/13
19h24m35.54s,+40d40m09.8s,CONFIRMED,10.916386,133.01905,1457,3.4511,NA,0.38,88.81,0.098,0,0.03476,23.3,3.78,791,5621,4.47,0.997,1.065,1.6,SPC,10/25/13
19h47m44.14s,+44d51m13.1s,FALSE POSITIVE,14.17098,359.82915,2912,3.5589,NA,0.72,88.24,0.11,0,0.0533,22.5,4.8,593,4919,4.56,0.82,0.89,NA,KIC,10/25/13
19h28m32.25s,+44d39m22.2s,FALSE POSITIVE,31.97335,133.8641,1297,9.4388,NA,1.03,81.36,0.178,0,0.09,6.7,6.3,406,4834,4.68,0.645,0.732,1,Pinsonneault,10/25/13
19h15m38.06s,+44d38m32.7s,FALSE POSITIVE,1.061934,133.84759,434,2.2237,NA,0.28,85.37,0.02,0,0.0188,3.7,1.73,1635,5705,4.56,0.84,0.952,0.4,Pinsonneault,10/25/13
19h57m05.98s,+44d33m12.6s,FALSE POSITIVE,5.9382067,136.5284,789,1.8889,NA,0.97,81.93,0.066,0,0.0378,7.06,4.2,1065,6182,4.47,1.01,1.09,0.3,Pinsonneault,10/25/13
19h34m08.20s,+44d58m16.0s,FALSE POSITIVE,0.6550023,133.17562,398,1.3258,NA,0.71,75.06,0.016,0,0.0197,2.8,2.35,2321,6376,4.43,1.09,1.16,0.29,Pinsonneault,10/25/13
19h34m33.91s,+44d39m25.3s,CONFIRMED,5.729319,138.5584,855,1.1185,NA,0.58,88.81,0.059,0,0.0276,33,2.23,827,5294,4.62,0.74,0.843,0.6,Pinsonneault,10/25/13
19h34m33.91s,+44d39m25.3s,CONFIRMED,11.609257,133.9908,482,1.7074,NA,0.02,89.95,0.095,0,0.0196,53,1.58,652,5294,4.62,0.74,0.843,0.6,Pinsonneault,10/25/13
19h15m28.16s,+44d36m56.6s,FALSE POSITIVE,0.53096754,133.84843,216,2.3412,NA,0.03,88.81,0.014,0,0.013,1.864,1.8,2726,6464,4.3,1.28,1.19,2.44,Pinsonneault,10/25/13
19h16m12.00s,+51d25m06.1s,FALSE POSITIVE,1.22775883,133.78602,44756,2.2918,NA,1.34,63.6,0.023,0,0.6,3,71,1870,6205,4.41,1.07,1.09,1.9,Pinsonneault,10/25/13
19h44m06.02s,+43d14m05.5s,FALSE POSITIVE,40.246454,161.30672,146930,6.9083,NA,0.99,88.81,0.239,0,0.55,53.05,69,594,6137,4.363,1.152,1.117,NA,J-K,10/25/13
19h44m06.02s,+43d14m05.5s,FALSE POSITIVE,2.2800034,133.63935,18590,2.4938,NA,0,89.95,0.035,0,0.11654,7.825,14.66,1553,6137,4.363,1.152,1.117,NA,J-K,10/25/13
19h19m13.25s,+46d29m30.2s,FALSE POSITIVE,2.48658698,134.10932,47404,2.9473,NA,0.03,89.95,0.035,0,0.194,8.243,22,1369,5707,4.36,1.03,0.9,10.2,Pinsonneault,10/25/13
18h43m46.52s,+42d50m21.1s,FALSE POSITIVE,1.20319548,133.930377,2930,2.078,NA,0.998,62.45,0.023,0,0.0883,2.176,13,2095,6211,4.23,1.34,1.109,4.4,SPC,10/25/13
18h51m11.43s,+43d34m41.3s,FALSE POSITIVE,10.9802455,137.13689,52373,3.8219,NA,0.751,88.24,0.097,0,0.23572,24.043,25,844,6010,4.46,0.98,1.022,2.4,Pinsonneault,10/25/13
19h33m24.31s,+43d08m04.7s,FALSE POSITIVE,2.144631,133.98434,19323,4.0917,NA,1.37,35.52,0.034,0,0.53,1.68,80,1775,6292,4.22,1.39,1.16,3.77,Pinsonneault,10/25/13
18h52m57.91s,+46d22m42.5s,FALSE POSITIVE,27.3220476,159.74647,84353,5.6518,NA,0.0256,89.95,0.174,0,0.26029,46.877,23.7,547,5664,4.57,0.83,0.941,0.4,Pinsonneault,10/25/13
19h51m35.18s,+43d33m50.0s,FALSE POSITIVE,0.97193284,133.85337,10880,1.6306,NA,1,64.17,0.018,0,0.181,2.29,18,1758,5570,4.45,0.92,0.87,9.6,Pinsonneault,10/25/13
19h38m11.37s,+43d32m01.3s,FALSE POSITIVE,121.59085,137.2933,10047,8.4598,NA,0.92,88.81,0.49,0,0.112,40.7,11.8,376,6078,4.5,0.96,1.061,0.3,Pinsonneault,10/25/13
19h41m54.79s,+39d52m03.8s,FALSE POSITIVE,15.068058,363.5491,20440,2.6661,NA,0.9,88.24,0.12,0,0.1813,26.4,13.1,595,5735,4.79,0.66,1,NA,KIC,10/25/13
18h55m11.17s,+49d30m14.4s,FALSE POSITIVE,1.09721112,131.51666,40808,1.5834,NA,1.24,73.91,0.017,0,0.5,4.5,27,913,3832,4.75,0.496,0.511,14,Pinsonneault,10/25/13
19h45m20.24s,+47d08m44.1s,FALSE POSITIVE,0.29362991,133.58379,1895,1.9879,NA,1.3001,18.91,0.008,0,0.3451,1.374,31.2,2537,5651,4.57,0.83,0.936,0.4,Pinsonneault,10/25/13
19h51m09.13s,+47d06m03.9s,FALSE POSITIVE,1.0965841,133.6136,306,2.0671,NA,0.026,89.38,0.019,0,0.0156,4.16,1.4,1523,5249,4.5,0.82,0.782,13.9,Pinsonneault,10/25/13
19h20m24.80s,+39d46m53.9s,FALSE POSITIVE,22.651197,140.33638,2330,3.4917,NA,0.931,87.66,0.174,0,0.05551,22.67,8.3,864,6984,4.3,1.37,1.36,0.68,Pinsonneault,10/25/13
19h38m23.07s,+47d11m50.8s,FALSE POSITIVE,1.2042737,134.05702,213,1.4012,NA,0.48,85.37,0.022,0,0.0135,5.9,1.24,1538,5651,4.56,0.84,0.936,0.9,Pinsonneault,10/25/13
19h32m58.52s,+38d16m23.8s,FALSE POSITIVE,0.9489512,134.36725,3505,3.903,NA,1.229,33.23,0.02,0,0.2972,1.47,35,2037,6269,4.41,1.08,1.11,1.4,Pinsonneault,10/25/13
19h22m33.46s,+38d17m04.7s,FALSE POSITIVE,0.49793081,133.34179,5131,0.9577,NA,0.97,57.87,0.012,0,0.109,1.81,9.2,1890,5346,4.59,0.77,0.845,3.3,Pinsonneault,10/25/13
19h15m36.61s,+44d37m58.8s,FALSE POSITIVE,1.06193123,133.85071,173,2.1459,NA,0.49,81.36,0.021,0,0.0121,3.36,1.29,1837,6111,4.49,0.97,1.07,0.3,Pinsonneault,10/25/13
19h48m27.63s,+41d54m32.9s,CONFIRMED,13.024877,138.1779,739,4.4313,NA,0.08,89.95,0.108,0,0.02491,22.9,2.88,785,5685,4.38,1.06,0.984,7.2,SME,10/25/13
19h46m52.16s,+44d34m46.8s,FALSE POSITIVE,6.099,135.5217,216,3.7324,NA,0.031,89.95,0.068,0,0.0131,12.97,2.9,1395,5751,3.87,2.06,1.15,5.9,Pinsonneault,10/25/13
18h53m15.82s,+48d24m17.5s,FALSE POSITIVE,3.1170889,134.68392,11647,3.0728,NA,1.38,72.77,0.044,0,0.5,4.72,65,1436,6235,4.35,1.2,1.177,NA,J-K,10/25/13
19h48m27.63s,+41d54m32.9s,CONFIRMED,22.687123,148.4548,914,5.3533,NA,0.06,89.95,0.156,0,0.02768,33.2,3.2,653,5685,4.38,1.06,0.984,7.2,SME,10/25/13
19h08m34.35s,+46d30m29.0s,FALSE POSITIVE,0.6920069,133.11103,3876,1.1155,NA,0.889,72.77,0.013,0,0.0694,3,4.12,1193,4183,4.72,0.543,0.57,14,Pinsonneault,10/25/13
19h25m08.78s,+43d24m15.9s,FALSE POSITIVE,17.042191,363.9733,5331,6.6651,NA,0.86,85.37,0.127,0,0.07933,11.23,7,577,5167,4.59,0.81,0.94,NA,KIC,10/25/13
19h11m13.10s,+46d14m20.1s,FALSE POSITIVE,7.9467102,140.70736,6136,2.1996,NA,1.16,83.65,0.07,0,0.27,10.9,19,646,4826,4.68,0.644,0.729,1.4,Pinsonneault,10/25/13
19h24m05.52s,+50d15m44.0s,FALSE POSITIVE,3.747802,355.3136,6002,4.0261,NA,0.96,72.19,0.047,0,0.113,3.1,12.4,1176,5780,4.44,1,1,NA,J-K,10/25/13
19h47m40.14s,+43d31m03.1s,FALSE POSITIVE,2.1132007,356.32839,3051,2.4998,NA,0.99,64.74,0.032,0,0.091,2.28,9.2,1256,5278,4.49,0.93,0.99,NA,KIC,10/25/13
19h48m41.83s,+43d28m44.8s,FALSE POSITIVE,1.1578068,354.74335,910,2.6283,NA,0.08,88.81,0.022,0,0.027,3.4,2.7,1516,5352,4.52,0.91,0.99,NA,KIC,10/25/13
19h55m17.41s,+46d39m01.0s,FALSE POSITIVE,8.480262,135.8544,1360,5.9209,NA,0.9,76.2,0.081,0,0.04128,3.84,4.5,914,5934,4.44,0.99,0.99,4,Pinsonneault,10/25/13
19h33m02.62s,+44d52m08.0s,CONFIRMED,13.722364,137.8395,589,5.2396,NA,0.631,87.66,0.112,0,0.02331,16.1,2.28,734,5886,4.54,0.9,1.002,0.4,Pinsonneault,10/25/13
19h44m18.77s,+43d08m13.0s,FALSE POSITIVE,3.5820738,355.51478,1733,3.3888,NA,0.18,88.81,0.047,0,0.0372,8.3,4.3,1227,5847,4.42,1.06,1.08,NA,KIC,10/25/13
19h15m03.16s,+50d10m27.2s,FALSE POSITIVE,1.7809803,177.8249,809,2.1587,NA,0.023,89.95,0.028,0,0.025,6.49,2.3,1382,5705,4.56,0.84,0.95,0.5,Pinsonneault,10/25/13
19h52m33.73s,+40d04m25.9s,FALSE POSITIVE,0.9794448,132.4198,657,1.0505,NA,0.03,89.95,0.019,0,0.023,7.36,1.6,1379,5327,4.78,0.65,0.93,NA,KIC,10/25/13
18h51m51.88s,+48d20m42.3s,FALSE POSITIVE,3.12082903,139.46556,17254,2.0209,NA,0.78,84.8,0.043,0,0.13587,9,14.5,1287,6115,4.49,0.98,1.075,0.3,Pinsonneault,10/25/13
19h04m12.67s,+50d15m23.7s,FALSE POSITIVE,12.6817287,132.68177,5601,2.1217,NA,1.29,87.09,0.096,0,0.39,28,31,611,5016,4.57,0.73,0.733,14,Pinsonneault,10/25/13
19h46m38.61s,+43d48m59.2s,FALSE POSITIVE,6.8149853,134.21162,25943,2.801,NA,0.796,87.09,0.067,0,0.17069,14.723,14.8,827,5437,4.57,0.8,0.867,3.2,Pinsonneault,10/25/13
19h58m24.48s,+43d41m45.6s,FALSE POSITIVE,63.93422,162.8561,715,5.4299,NA,1.05,83.65,0.186,0,0.089,9.9,2.6,172,3240,4.897,0.27,0.21,NA,J-K,10/25/13
19h23m26.88s,+38d21m12.9s,FALSE POSITIVE,8.3872117,138.90257,5897,1.838,NA,1.21,85.94,0.084,0,0.31,17.2,36,987,6278,4.43,1.07,1.12,0.86,Pinsonneault,10/25/13
19h04m00.07s,+38d17m04.6s,FALSE POSITIVE,15.23928,369.561,16447,12.7321,NA,0.89,80.79,0.123,0,0.152,5.43,13.2,690,6164,4.67,0.79,1.07,NA,KIC,10/25/13
19h32m06.03s,+37d59m33.5s,FALSE POSITIVE,0.41333387,133.21272,1767,1.39,NA,0.34,80.21,0.011,0,0.0386,2.04,3.8,2351,5890,4.53,0.9,1,0.6,Pinsonneault,10/25/13
19h30m19.93s,+38d22m27.8s,FALSE POSITIVE,0.52875259,133.3855,459,3.4843,NA,0.03,88.81,0.014,0,0.0186,1.373,2.37,2637,6541,4.39,1.17,1.219,0.36,Pinsonneault,10/25/13
19h23m34.58s,+38d26m06.1s,FALSE POSITIVE,10.91102,142.5315,603,4.0708,NA,0.08,89.95,0.097,0,0.0218,21,2.2,799,5919,4.53,0.91,1.014,0.3,Pinsonneault,10/25/13
19h31m25.46s,+38d22m21.3s,FALSE POSITIVE,5.489897,134.1064,588,2.7762,NA,0.11,89.38,0.061,0,0.0215,15.3,2.1,1016,5952,4.52,0.91,1.019,0.3,Pinsonneault,10/25/13
19h19m03.56s,+38d21m08.5s,FALSE POSITIVE,0.7309384,355.902,530,2.6613,NA,0.41,77.92,0.015,0,0.0218,1.97,1.73,1413,4606,4.6,0.73,0.76,NA,KIC,10/25/13
19h21m39.18s,+38d20m37.5s,CONFIRMED,12.33354,137.5799,492,5.0692,NA,0.873,84.8,0.105,0,0.02344,9.97,2.9,870,6043,4.35,1.12,1.02,5.2,Pinsonneault,10/25/13
19h47m16.25s,+46d46m53.4s,FALSE POSITIVE,102.9667,158.0681,1800,14.7382,NA,0.85,88.24,0.476,0,0.04512,32.5,15.2,566,5043,3.59,3.09,1.357,3.94,SPC,10/25/13
19h21m39.18s,+38d20m37.5s,CONFIRMED,8.145035,140.5744,442,4.0842,NA,0.896,83.08,0.08,0,0.02262,7.56,2.8,997,6043,4.35,1.12,1.02,5.2,Pinsonneault,10/25/13
19h26m32.88s,+47d49m56.4s,FALSE POSITIVE,0.937444,134.71852,4971,1.9388,NA,0.76,75.06,0.019,0,0.0707,2.93,7,1606,5278,4.52,0.9,0.98,NA,KIC,10/25/13
19h53m01.93s,+48d13m02.5s,FALSE POSITIVE,0.66848386,178.28043,3803,1.539,NA,0.96,42.4,0.014,0,0.088,1.3,7.7,1845,5529,4.59,0.8,0.906,0.5,Pinsonneault,10/25/13
18h48m55.85s,+48d16m16.3s,FALSE POSITIVE,4.4296322,355.14348,4822,2.6449,NA,1.09,76.2,0.052,0,0.196,4.6,18,921,5144,4.55,0.86,0.95,NA,KIC,10/25/13
19h50m50.49s,+48d05m01.8s,FALSE POSITIVE,4.8878059,354.539,13062,2.4485,NA,0.031,89.95,0.055,0,0.102,16.84,9.8,899,5088,4.52,0.88,0.94,NA,KIC,10/25/13
19h46m51.92s,+48d12m40.5s,FALSE POSITIVE,11.973597,144.77919,3696,3.2805,NA,1.16,83.08,0.106,0,0.24,9.4,26,838,6168,4.47,1,1.09,0.4,Pinsonneault,10/25/13
19h21m10.52s,+47d58m03.3s,FALSE POSITIVE,1.2313643,133.03586,1244,5.2267,NA,0.9617,38.96,0.023,0,0.04453,1.23,4.9,1743,5979,4.43,1,1,3.8,Pinsonneault,10/25/13
19h36m05.21s,+48d23m25.5s,FALSE POSITIVE,2.1024152,134.39429,1876,1.3214,NA,0.99,75.06,0.032,0,0.072,3.9,7.3,1420,5983,4.52,0.93,1.028,0.4,Pinsonneault,10/25/13
19h47m43.84s,+48d15m59.4s,FALSE POSITIVE,11.7031044,133.72106,4370,1.9115,NA,1.23,86.52,0.102,0,0.31,19.6,31,799,5986,4.51,0.93,1.03,0.5,Pinsonneault,10/25/13
19h48m27.84s,+47d44m16.6s,FALSE POSITIVE,9.089381,139.0825,926,4.5814,NA,0.031,89.95,0.093,0,0.027,15.55,3.7,1088,6739,4.36,1.25,1.29,0.23,Pinsonneault,10/25/13
19h47m20.94s,+48d14m23.8s,CONFIRMED,3.23469955,121.485799,10634,3.6016,NA,0.029,89.95,0.045,0,0.09373,7.53,11.07,1260,5826,4.42,1.082,1.138,1.3,SME,10/25/13
19h48m27.63s,+41d54m32.9s,CONFIRMED,31.995467,154.16105,1343,4.2748,NA,0.735,88.81,0.196,0,0.0362,41.8,4.18,583,5685,4.38,1.06,0.984,7.2,SME,10/25/13
19h28m21.37s,+47d55m46.7s,FALSE POSITIVE,1.5778002,133.30724,736,1.6097,NA,0.19,88.81,0.027,0,0.0243,7.6,2.7,1656,6167,4.47,1,1.09,0.4,Pinsonneault,10/25/13
19h19m09.79s,+48d26m53.3s,FALSE POSITIVE,2.38086261,135.32462,34794,4.0645,NA,0.619,81.93,0.034,0,0.17915,4.426,22.1,1479,5817,4.31,1.13,0.94,9.2,Pinsonneault,10/25/13
19h44m35.71s,+47d56m05.5s,FALSE POSITIVE,1.0310952,133.9381,343,2.1446,NA,0.11,88.24,0.021,0,0.0165,3.7,2,2041,6361,4.41,1.11,1.15,0.91,Pinsonneault,10/25/13
19h33m02.62s,+44d52m08.0s,CONFIRMED,242.4677,150.86,336,12.9854,NA,0.668,89.38,0.762,0,0.01782,109,1.74,281,5886,4.54,0.9,1.002,0.4,Pinsonneault,10/25/13
19h45m45.15s,+46d36m55.3s,FALSE POSITIVE,4.98824,358.2289,607,7.7387,NA,0.643,80.79,0.058,0,0.02366,4,2.17,938,5583,4.6,0.84,1.03,NA,KIC,10/25/13
19h12m05.45s,+43d32m53.6s,FALSE POSITIVE,17.794009,365.3457,1177,3.0548,NA,1.02,84.8,0.137,0,0.082,11.3,8.8,712,6032,4.49,0.98,1.09,NA,KIC,10/25/13
18h48m43.06s,+46d27m25.8s,FALSE POSITIVE,0.6878956,133.66325,593,2.4988,NA,0.1,87.66,0.013,0,0.0217,2.25,1.42,1340,4482,4.68,0.597,0.627,13.7,Pinsonneault,10/25/13
19h22m57.13s,+39d55m10.7s,FALSE POSITIVE,0.94773233,137.12916,12336,1.8869,NA,1.43,32.09,0.02,0,0.54,1.69,86,2386,6338,4.19,1.46,1.2,3.65,Pinsonneault,10/25/13
19h23m41.56s,+40d46m15.7s,FALSE POSITIVE,5.082554,132.955,101,2.9061,NA,0.36,88.24,0.057,0,0.0093,13.4,0.86,970,5706,4.56,0.85,0.95,0.5,Pinsonneault,10/25/13
19h24m40.96s,+38d00m30.9s,FALSE POSITIVE,0.8901087,133.26388,504,0.7089,NA,0.65,84.8,0.016,0,0.0221,7.57,1.49,1287,4696,4.7,0.618,0.701,0.9,Pinsonneault,10/25/13
19h38m06.14s,+38d12m16.7s,FALSE POSITIVE,5.765698,133.3143,421,2.8122,NA,0.04,89.95,0.066,0,0.0182,15.9,2.1,1105,6282,4.45,1.05,1.132,0.2,Pinsonneault,10/25/13
19h19m11.09s,+38d21m04.3s,FALSE POSITIVE,0.7309,133.685,223,2.8862,NA,1.3831,57.3,0.016,0,1.25,2.5758,124,1970,5926,4.53,0.91,1.01,0.3,Pinsonneault,10/25/13
19h57m35.93s,+45d18m57.8s,FALSE POSITIVE,8.6678241,137.3408,2649,4.194,NA,0.98,80.79,0.092,0,0.0792,6.08,18.1,1326,6302,3.93,2.09,1.37,3.08,Pinsonneault,10/25/13
19h05m57.70s,+38d22m29.7s,FALSE POSITIVE,4.152386,134.5916,207,2.8715,NA,0.71,84.8,0.049,0,0.0141,8.1,1.24,993,5552,4.58,0.81,0.91,0.5,Pinsonneault,10/25/13
19h26m25.66s,+38d20m53.0s,FALSE POSITIVE,6.72108,134.778,93,7.4645,NA,0.824,78.5,0.064,0,0.01,4.1,0.9,832,5255,4.5,0.8,0.78,13.9,Pinsonneault,10/25/13
19h29m06.97s,+38d17m04.3s,FALSE POSITIVE,10.26551,136.4956,396,3.6284,NA,0.21,89.38,0.091,0,0.0181,21.6,1.65,760,5674,4.57,0.84,0.945,0.4,Pinsonneault,10/25/13
19h48m27.63s,+41d54m32.9s,CONFIRMED,46.68641,225.0355,518,6.4484,NA,0.31,89.38,0.252,0,0.02104,53.7,2.43,514,5685,4.38,1.06,0.984,7.2,SME,10/25/13
19h28m17.45s,+50d32m53.8s,FALSE POSITIVE,2.929296,133.71726,469,4.8631,NA,0.009,89.95,0.043,0,0.0193,4.71,2.9,1656,6654,4.27,1.37,1.26,1.87,Pinsonneault,10/25/13
19h48m29.25s,+46d13m18.9s,FALSE POSITIVE,3.5565259,133.5168,383,8.3755,NA,0.016,89.95,0.044,0,0.0174,3.345,4.2,1532,4881,3.71,2.23,0.919,14,Pinsonneault,10/25/13
19h19m48.19s,+50d39m26.1s,FALSE POSITIVE,0.7054477,133.80677,483,2.584,NA,1.2245,22.35,0.015,0,0.2462,1.32,22.9,1904,5725,4.56,0.85,0.959,0.5,Pinsonneault,10/25/13
19h45m46.03s,+46d37m00.2s,FALSE POSITIVE,4.9887,358.2252,343,8.3797,NA,0.763,76.2,0.059,0,0.01847,3.2,1.84,1073,6179,4.55,0.91,1.09,NA,KIC,10/25/13
19h48m11.16s,+49d58m13.4s,FALSE POSITIVE,0.52022264,178.14683,449,1.1741,NA,0.25,85.94,0.012,0,0.0192,3.4,1.9,2187,5754,4.51,0.89,0.946,3,Pinsonneault,10/25/13
19h40m51.99s,+50d05m03.6s,FALSE POSITIVE,12.731943,138.7318,11183,3.7238,NA,0.88,87.09,0.121,0,0.1186,16.91,19.9,1141,7249,4.22,1.54,1.45,1.13,Pinsonneault,10/25/13
19h20m32.38s,+38d24m15.2s,FALSE POSITIVE,7.047134,139.7954,308,2.3794,NA,0.63,88.24,0.07,0,0.0168,18.1,1.9,966,5720,4.37,1.03,0.91,9.7,Pinsonneault,10/25/13
19h05m57.77s,+37d29m23.9s,FALSE POSITIVE,145.56306,146.0555,3594,5.459,NA,1.27,89.38,0.555,0,0.34,81,44,398,6170,4.32,1.19,1.08,4.1,Pinsonneault,10/25/13
19h37m57.63s,+38d11m38.9s,FALSE POSITIVE,7.244812,139.1028,63,2.578,NA,0.03,89.95,0.067,0,0.0071,22.3,0.63,772,5015,4.495,0.816,0.76,NA,J-K,10/25/13
19h37m57.63s,+38d11m38.9s,FALSE POSITIVE,13.55481,139.8179,58,2.4488,NA,0.67,88.81,0.102,0,0.0074,32,0.66,626,5015,4.495,0.816,0.76,NA,J-K,10/25/13
19h51m01.70s,+41d40m49.6s,FALSE POSITIVE,29.743977,157.4206,174683,26.0837,NA,0,89.95,0.166,0,0.3789,12.04,30.65,419,4495,4.537,0.741,0.69,NA,J-K,10/25/13
19h21m24.70s,+41d46m11.1s,FALSE POSITIVE,14.1540268,140.69805,60947,4.0177,NA,1.31,86.52,0.112,0,0.62,23,59,700,5693,4.53,0.87,0.931,3.1,Pinsonneault,10/25/13
19h54m50.76s,+41d38m08.9s,FALSE POSITIVE,0.84478618,134.21607,3400,3.507,NA,1.3213,30.94,0.017,0,0.3834,1.541,39,1875,5710,4.45,0.94,0.914,7,Pinsonneault,10/25/13
19h28m56.83s,+41d44m21.5s,FALSE POSITIVE,0.8484847,133.5841,1941,1.1188,NA,0.98,60.73,0.018,0,0.068,2.01,6.8,1857,5919,4.52,0.91,1.01,0.6,Pinsonneault,10/25/13
19h45m11.65s,+41d36m09.8s,FALSE POSITIVE,11.990972,143.283,1962,4.245,NA,1.07,79.64,0.105,0,0.139,6.1,17,892,6146,4.35,1.14,1.06,3.8,Pinsonneault,10/25/13
19h48m27.63s,+41d54m32.9s,CONFIRMED,118.37815,287.2894,1021,9.3054,NA,0.05,89.95,0.469,0,0.02925,100,3.38,377,5685,4.38,1.06,0.984,7.2,SME,10/25/13
19h06m39.76s,+48d08m40.5s,FALSE POSITIVE,0.52245826,133.75047,147,0.8612,NA,0.93,59.01,0.013,0,0.0144,1.82,1.55,2301,6002,4.46,0.98,1.019,2.5,Pinsonneault,10/25/13
