koi_disposition,koi_time0bk,koi_incl,koi_sma,koi_ror,koi_dor,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage
CONFIRMED,175.6861,87.66,0.074,0.029,16.4,4663.0,4.65,0.638,0.662,14.0
'FALSE POSITIVE',137.90619,87.09,0.141,0.073,19.8,5632.0,4.22,1.2,0.88,14.0
CONFIRMED,186.67604,88.81,0.191,0.0858,46.1,5289.0,4.59,0.76,0.82,4.5
'FALSE POSITIVE',171.8982,87.09,0.07,0.199,19.7,5609.0,4.58,0.82,0.93,0.4
'FALSE POSITIVE',132.6728,90,0.025652,0.012,5,NA,NA,0.601,NA,NA
'FALSE POSITIVE',132.8915,74,0.037741,0.0093,3.4,NA,NA,1.349,NA,NA
'FALSE POSITIVE',132.0593,87,0.024057,0.011,4,NA,NA,0.952,NA,NA
'FALSE POSITIVE',415.343,90,1.04171,0.023,221,NA,NA,1.1,NA,NA
'FALSE POSITIVE',131.8003,83,0.01982,0.0124,3.3,NA,NA,1.232,NA,NA
'FALSE POSITIVE',131.7259,49,0.016134,0.0184,1.41,NA,NA,0.952,NA,NA
'FALSE POSITIVE',131.8197,53,0.022488,0.0363,1.54,NA,NA,1,NA,NA
'FALSE POSITIVE',132.3414,42,0.016493,0.0148,1.3,NA,NA,0.634,NA,NA
'FALSE POSITIVE',264.788,89.86,0.871488,0.044,230,NA,NA,0.544,NA,NA
'FALSE POSITIVE',131.6695,76,0.014711,0.0063,3.1,NA,NA,1.186,NA,NA
'FALSE POSITIVE',260.306,89.7,0.694477,0.032,102,NA,NA,0.688,NA,NA
CONFIRMED,170.95639,85.94,0.056,0.0392,11.7,4500.0,4.7,0.594,0.648,6.8
CONFIRMED,181.2235,87.66,0.089,0.0379,18.7,4500.0,4.7,0.594,0.648,6.8
'FALSE POSITIVE',136.4533,83.08,0.094,0.02162,7.47,6197.0,3.87,2.32,1.45,2.8
CONFIRMED,194.1314,89.38,0.169,0.0404,41.47,5700.0,4.49,0.9,0.922,4.9
CONFIRMED,174.1215,89.95,0.264,0.05404,64.7,5700.0,4.49,0.9,0.922,4.9
'FALSE POSITIVE',170.69388,80.21,0.029,0.203,5.39,5369.0,4.57,0.79,0.84,5.4
'FALSE POSITIVE',131.8165,83,0.015398,0.011,2,NA,NA,0.833,NA,NA
'FALSE POSITIVE',133.0171,89,0.03767,0.0052,6,NA,NA,1.395,NA,NA
