koi_disposition,koi_time0bk,koi_incl,koi_sma,koi_ror,koi_dor,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage
'FALSE POSITIVE',143.1241,89.95,0.164,0.025,37,5613.0,4.36,1.02,0.87,12.3
'FALSE POSITIVE',133.1245,87.66,0.03,0.0174,8,6170.0,4.48,1,1.09,0.3
'FALSE POSITIVE',139.6436,89.95,0.07,0.025,17.2,4517.0,4.68,0.602,0.634,13.0
CONFIRMED,133.5043,85.37,0.044,0.01708,9.2,5385.0,4.43,0.978,0.944,8.5
'FALSE POSITIVE',157.3173,88.24,0.178,0.0475,28,3979.0,4.75,0.513,0.534,13.9
'FALSE POSITIVE',140.7412,79.07,0.08,0.055,5.3,6013.0,4.16,1.41,1.06,6.6
'FALSE POSITIVE',354.88868,75.63,0.028,0.1341,3.7,5214.0,4.6,0.81,0.95,NA
'FALSE POSITIVE',133.32817,64.74,0.025,0.09392,1.987,6987.0,4.16,1.64,1.42,1.65
'FALSE POSITIVE',134.35399,87.09,0.148,0.12247,15.131,6229.0,4.25,1.31,1.12,4.01
'FALSE POSITIVE',179.2962,48.7,0.047,0.06049,1.361,5886.0,4.54,0.89,1.0,0.3
'FALSE POSITIVE',354.98475,25.78,0.013,0.3711,1.46,5982.0,4.72,0.74,1.04,NA
'FALSE POSITIVE',177.92314,47.56,0.021,0.095,1.48,5945.0,4.48,0.95,1.0,2.4
'FALSE POSITIVE',133.93369,84.22,0.074,0.11857,8.03,5860.0,4.54,0.89,0.994,0.4
'FALSE POSITIVE',136.3322,86.52,0.041,0.165,3.69869,6562.0,4.38,1.18,1.23,0.39
'FALSE POSITIVE',133.31509,76.78,0.023,0.4,5.1,4086.0,4.74,0.527,0.552,13.9
'FALSE POSITIVE',135.26916,84.8,0.043,0.1437,8.971,5352.0,4.46,0.87,0.8,13.8
'FALSE POSITIVE',133.29658,46.41,0.016,0.483,1.975,5685.0,4.56,0.84,0.947,0.5
'FALSE POSITIVE',155.0852,88.81,0.131,0.04989,24.4,4326.0,4.71,0.566,0.596,13.9
'FALSE POSITIVE',232.64885,89.38,0.435,0.187,69.2,5203.0,4.52,0.8,0.772,13.9
'FALSE POSITIVE',178.59665,84.8,0.024,0.0358,6.4,6948.0,4.33,1.32,1.36,0.29
'FALSE POSITIVE',133.49826,83.08,0.02,0.037,4.2,6126.0,4.49,0.98,1.074,0.4
'FALSE POSITIVE',133.8811,89.38,0.041,0.0192,9.8,5750.0,4.56,0.85,0.963,0.4
'FALSE POSITIVE',358.30378,87.66,0.082,0.151,22.9,5533.0,4.59,0.84,1.02,NA
'FALSE POSITIVE',361.83848,86.52,0.08,0.35,21,5243.0,4.55,0.86,0.97,NA
'FALSE POSITIVE',178.25793,69.9,0.024,0.066,2.78,6138.0,4.46,1.01,1.07,1.2
'FALSE POSITIVE',140.9125,89.38,0.107,0.0207,38,6064.0,4.5,0.96,1.054,0.5
'FALSE POSITIVE',151.52858,89.95,0.194,0.14128,50.4,5959.0,4.52,0.92,1.022,0.4
'FALSE POSITIVE',139.7759,89.38,0.333,0.0467,62.8,5813.0,4.38,1.04,0.938,8.0
'FALSE POSITIVE',135.0498,80.79,0.056,0.05,6.5,5895.0,4.33,1.11,0.97,7.5
'FALSE POSITIVE',136.4545,85.37,0.053,0.0345,4.4,6303.0,4.45,1.05,1.14,0.3
'FALSE POSITIVE',369.1121,85.94,0.145,0.08825,13.28,5532.0,4.35,1.14,1.06,NA
'FALSE POSITIVE',134.452,50.42,0.034,0.088,1.57,6042.0,4.5,0.95,1.05,0.5
'FALSE POSITIVE',355.35328,51.57,0.013,0.057,1.57,4928.0,4.69,0.69,0.85,NA
'FALSE POSITIVE',133.7429,25.21,0.012,0.282,1.38,5606.0,4.49,0.89,0.889,6.8
'FALSE POSITIVE',134.21028,89.95,0.023,0.02,3.518,5763.0,4.48,0.93,0.938,4.9
'FALSE POSITIVE',133.4311,88.81,0.017,0.0124,1.0896,6350.0,4.335,1.256,1.245,NA
'FALSE POSITIVE',134.495,89.38,0.037,0.0164,3.25,5960.0,4.52,0.92,1.025,0.3
'FALSE POSITIVE',171.52829,89.95,0.05,0.0174,14.87,8129.0,3.93,2.52,1.97,0.89
'FALSE POSITIVE',133.1813,88.81,0.037,0.0215,11.5,4124.0,4.73,0.533,0.559,13.9
'FALSE POSITIVE',133.18698,89.38,0.013,0.0169,3.62,5821.0,4.54,0.88,0.983,0.4
'FALSE POSITIVE',139.706,89.38,0.201,0.008,53,6510.0,4.35,1.21,1.2,1.39
'FALSE POSITIVE',364.3847,89.95,0.118,0.037,31.87,5752.0,4.51,0.94,1.06,NA
CONFIRMED,147.0928,81.93,0.167,0.02292,6.7,4931.0,3.58,3.14,1.362,4.38
CONFIRMED,135.5589,79.64,0.104,0.0112,4.2,4931.0,3.58,3.14,1.362,4.38
'FALSE POSITIVE',356.413,88.81,0.044,0.014,12.7,6120.0,4.34,1.18,1.12,NA
'FALSE POSITIVE',134.0944,89.95,0.098,0.0155,28,6069.0,4.5,0.96,1.061,0.3
'FALSE POSITIVE',134.5497,81.36,0.041,0.14422,4.548,6530.0,4.24,1.39,1.23,2.63
CONFIRMED,138.3254,89.38,0.077,0.00956,10.22,6142.0,3.97,1.87,1.19,4.9
'FALSE POSITIVE',151.1334,88.81,0.1,0.023,36,5815.0,4.54,0.88,0.981,0.5
'FALSE POSITIVE',134.5404,89.95,0.059,0.0137,19.67,6122.0,4.16,1.45,1.1,5.4
'FALSE POSITIVE',133.6066,85.37,0.018,0.0104,4,5993.0,4.45,0.99,1.01,3.0
'FALSE POSITIVE',121.97201,80.79,0.055,0.12,6.4,6414.0,4.22,1.4,1.197,3.26
'FALSE POSITIVE',134.416,85.94,0.062,0.01019,5.8,5235.0,2.46,16.61,2.9223,0.4085
'FALSE POSITIVE',133.6226,86.52,0.21,0.115,18.8,5570.0,4.11,1.39,0.9,13.8
'FALSE POSITIVE',133.1772,89.95,0.033,0.013,2.377,7117.0,4.18,1.62,1.44,1.46
'FALSE POSITIVE',134.20966,88.24,0.027,0.0118,3.5,6806.0,4.03,1.95,1.46,2.01
'FALSE POSITIVE',136.20132,85.37,0.037,0.23,14.1,3240.0,4.897,0.27,0.21,NA
'FALSE POSITIVE',137.1757,83.08,0.185,0.04444,7.66,9628.0,4.23,1.84,2.11,0.337
'FALSE POSITIVE',142.2163,89.95,0.145,0.0141,48.2,7848.0,4.09,1.95,1.71,1.05
'FALSE POSITIVE',176.305283,89.95,0.43,0.76,180,6276.0,4.02,1.86,1.32,3.3
'FALSE POSITIVE',357.45306,85.37,0.063,0.21902,9.896,5613.0,4.73,0.71,1.0,NA
'FALSE POSITIVE',386.21109,89.38,0.385,0.2437,55.06,5745.0,4.61,0.84,1.04,NA
'FALSE POSITIVE',134.02072,64.74,0.017,0.215,2.34,6098.0,4.46,1.01,1.06,1.6
'FALSE POSITIVE',134.10521,50.42,0.013,0.211,1.65,5697.0,4.56,0.84,0.948,0.6
'FALSE POSITIVE',134.48359,46.98,0.017,0.0942,1.396,5488.0,4.58,0.8,0.889,1.6
'FALSE POSITIVE',357.253,48.13,0.045,0.107,1.52,5011.0,4.51,0.89,0.93,NA
'FALSE POSITIVE',137.2576,80.21,0.052,0.0411,4.4,4616.0,4.528,0.758,0.707,NA
'FALSE POSITIVE',137.44738,82.51,0.089,0.224,8.6,5853.0,4.32,1.11,0.95,8.4
'FALSE POSITIVE',178.18532,89.38,0.021,0.0247,3.81,4032.0,4.74,0.522,0.546,13.9
'FALSE POSITIVE',177.9563,89.95,0.048,0.026,10.43,3877.0,4.587,0.606,0.518,NA
'FALSE POSITIVE',144.3011,80.21,0.149,0.02191,5.88,7982.0,4.01,2.2,1.83,0.99
'FALSE POSITIVE',134.7761,71.62,0.054,0.16,3.6,5000.0,3.66,2.5,1.05,8.6
'FALSE POSITIVE',131.88283,80.21,0.038,0.095,5.7,5523.0,4.45,1.01,1.04,NA
'FALSE POSITIVE',133.46492,65.89,0.023,0.14973,2.0458,6169.0,4.358,1.168,1.135,NA
'FALSE POSITIVE',133.63757,81.93,0.051,0.16042,5.738,6186.0,4.47,1.01,1.09,0.3
'FALSE POSITIVE',450.7579,69.9,0.044,0.0508,2.83,5718.0,3.6,3.08,1.36,NA
'FALSE POSITIVE',133.1925,88.81,0.02,0.0134,4.8,5597.0,4.57,0.82,0.92,1.2
'FALSE POSITIVE',178.5219,89.38,0.025,0.0112,3.82,4980.0,4.498,0.811,0.756,NA
'FALSE POSITIVE',133.27507,72.19,0.024,0.08213,2.936,5955.0,4.404,1.048,1.016,NA
'FALSE POSITIVE',142.1524,87.09,0.161,0.0694,18.77,4655.0,4.65,0.634,0.66,13.7
'FALSE POSITIVE',354.5823,88.24,0.02,0.0163,8.6,5209.0,4.73,0.69,0.92,NA
CONFIRMED,133.01905,88.81,0.098,0.03476,23.3,5621.0,4.47,0.997,1.065,1.6
'FALSE POSITIVE',359.82915,88.24,0.11,0.0533,22.5,4919.0,4.56,0.82,0.89,NA
'FALSE POSITIVE',133.8641,81.36,0.178,0.09,6.7,4834.0,4.68,0.645,0.732,1.0
'FALSE POSITIVE',133.84759,85.37,0.02,0.0188,3.7,5705.0,4.56,0.84,0.952,0.4
'FALSE POSITIVE',136.5284,81.93,0.066,0.0378,7.06,6182.0,4.47,1.01,1.09,0.3
'FALSE POSITIVE',133.17562,75.06,0.016,0.0197,2.8,6376.0,4.43,1.09,1.16,0.29
CONFIRMED,138.5584,88.81,0.059,0.0276,33,5294.0,4.62,0.74,0.843,0.6
CONFIRMED,133.9908,89.95,0.095,0.0196,53,5294.0,4.62,0.74,0.843,0.6
'FALSE POSITIVE',133.84843,88.81,0.014,0.013,1.864,6464.0,4.3,1.28,1.19,2.44
'FALSE POSITIVE',133.78602,63.6,0.023,0.6,3,6205.0,4.41,1.07,1.09,1.9
'FALSE POSITIVE',161.30672,88.81,0.239,0.55,53.05,6137.0,4.363,1.152,1.117,NA
'FALSE POSITIVE',133.63935,89.95,0.035,0.11654,7.825,6137.0,4.363,1.152,1.117,NA
'FALSE POSITIVE',134.10932,89.95,0.035,0.194,8.243,5707.0,4.36,1.03,0.9,10.2
'FALSE POSITIVE',133.930377,62.45,0.023,0.0883,2.176,6211.0,4.23,1.34,1.109,4.4
'FALSE POSITIVE',137.13689,88.24,0.097,0.23572,24.043,6010.0,4.46,0.98,1.022,2.4
'FALSE POSITIVE',133.98434,35.52,0.034,0.53,1.68,6292.0,4.22,1.39,1.16,3.77
'FALSE POSITIVE',159.74647,89.95,0.174,0.26029,46.877,5664.0,4.57,0.83,0.941,0.4
'FALSE POSITIVE',133.85337,64.17,0.018,0.181,2.29,5570.0,4.45,0.92,0.87,9.6
'FALSE POSITIVE',137.2933,88.81,0.49,0.112,40.7,6078.0,4.5,0.96,1.061,0.3
'FALSE POSITIVE',363.5491,88.24,0.12,0.1813,26.4,5735.0,4.79,0.66,1.0,NA
'FALSE POSITIVE',131.51666,73.91,0.017,0.5,4.5,3832.0,4.75,0.496,0.511,14.0
'FALSE POSITIVE',133.58379,18.91,0.008,0.3451,1.374,5651.0,4.57,0.83,0.936,0.4
'FALSE POSITIVE',133.6136,89.38,0.019,0.0156,4.16,5249.0,4.5,0.82,0.782,13.9
'FALSE POSITIVE',140.33638,87.66,0.174,0.05551,22.67,6984.0,4.3,1.37,1.36,0.68
'FALSE POSITIVE',134.05702,85.37,0.022,0.0135,5.9,5651.0,4.56,0.84,0.936,0.9
'FALSE POSITIVE',134.36725,33.23,0.02,0.2972,1.47,6269.0,4.41,1.08,1.11,1.4
'FALSE POSITIVE',133.34179,57.87,0.012,0.109,1.81,5346.0,4.59,0.77,0.845,3.3
'FALSE POSITIVE',133.85071,81.36,0.021,0.0121,3.36,6111.0,4.49,0.97,1.07,0.3
CONFIRMED,138.1779,89.95,0.108,0.02491,22.9,5685.0,4.38,1.06,0.984,7.2
'FALSE POSITIVE',135.5217,89.95,0.068,0.0131,12.97,5751.0,3.87,2.06,1.15,5.9
'FALSE POSITIVE',134.68392,72.77,0.044,0.5,4.72,6235.0,4.35,1.2,1.177,NA
CONFIRMED,148.4548,89.95,0.156,0.02768,33.2,5685.0,4.38,1.06,0.984,7.2
'FALSE POSITIVE',133.11103,72.77,0.013,0.0694,3,4183.0,4.72,0.543,0.57,14.0
'FALSE POSITIVE',363.9733,85.37,0.127,0.07933,11.23,5167.0,4.59,0.81,0.94,NA
'FALSE POSITIVE',140.70736,83.65,0.07,0.27,10.9,4826.0,4.68,0.644,0.729,1.4
'FALSE POSITIVE',355.3136,72.19,0.047,0.113,3.1,5780.0,4.44,1,1.0,NA
'FALSE POSITIVE',356.32839,64.74,0.032,0.091,2.28,5278.0,4.49,0.93,0.99,NA
'FALSE POSITIVE',354.74335,88.81,0.022,0.027,3.4,5352.0,4.52,0.91,0.99,NA
'FALSE POSITIVE',135.8544,76.2,0.081,0.04128,3.84,5934.0,4.44,0.99,0.99,4.0
CONFIRMED,137.8395,87.66,0.112,0.02331,16.1,5886.0,4.54,0.9,1.002,0.4
'FALSE POSITIVE',355.51478,88.81,0.047,0.0372,8.3,5847.0,4.42,1.06,1.08,NA
'FALSE POSITIVE',177.8249,89.95,0.028,0.025,6.49,5705.0,4.56,0.84,0.95,0.5
'FALSE POSITIVE',132.4198,89.95,0.019,0.023,7.36,5327.0,4.78,0.65,0.93,NA
'FALSE POSITIVE',139.46556,84.8,0.043,0.13587,9,6115.0,4.49,0.98,1.075,0.3
'FALSE POSITIVE',132.68177,87.09,0.096,0.39,28,5016.0,4.57,0.73,0.733,14.0
'FALSE POSITIVE',134.21162,87.09,0.067,0.17069,14.723,5437.0,4.57,0.8,0.867,3.2
'FALSE POSITIVE',162.8561,83.65,0.186,0.089,9.9,3240.0,4.897,0.27,0.21,NA
'FALSE POSITIVE',138.90257,85.94,0.084,0.31,17.2,6278.0,4.43,1.07,1.12,0.86
'FALSE POSITIVE',369.561,80.79,0.123,0.152,5.43,6164.0,4.67,0.79,1.07,NA
'FALSE POSITIVE',133.21272,80.21,0.011,0.0386,2.04,5890.0,4.53,0.9,1.0,0.6
'FALSE POSITIVE',133.3855,88.81,0.014,0.0186,1.373,6541.0,4.39,1.17,1.219,0.36
'FALSE POSITIVE',142.5315,89.95,0.097,0.0218,21,5919.0,4.53,0.91,1.014,0.3
'FALSE POSITIVE',134.1064,89.38,0.061,0.0215,15.3,5952.0,4.52,0.91,1.019,0.3
'FALSE POSITIVE',355.902,77.92,0.015,0.0218,1.97,4606.0,4.6,0.73,0.76,NA
CONFIRMED,137.5799,84.8,0.105,0.02344,9.97,6043.0,4.35,1.12,1.02,5.2
'FALSE POSITIVE',158.0681,88.24,0.476,0.04512,32.5,5043.0,3.59,3.09,1.357,3.94
CONFIRMED,140.5744,83.08,0.08,0.02262,7.56,6043.0,4.35,1.12,1.02,5.2
'FALSE POSITIVE',134.71852,75.06,0.019,0.0707,2.93,5278.0,4.52,0.9,0.98,NA
'FALSE POSITIVE',178.28043,42.4,0.014,0.088,1.3,5529.0,4.59,0.8,0.906,0.5
'FALSE POSITIVE',355.14348,76.2,0.052,0.196,4.6,5144.0,4.55,0.86,0.95,NA
'FALSE POSITIVE',354.539,89.95,0.055,0.102,16.84,5088.0,4.52,0.88,0.94,NA
'FALSE POSITIVE',144.77919,83.08,0.106,0.24,9.4,6168.0,4.47,1,1.09,0.4
'FALSE POSITIVE',133.03586,38.96,0.023,0.04453,1.23,5979.0,4.43,1,1.0,3.8
'FALSE POSITIVE',134.39429,75.06,0.032,0.072,3.9,5983.0,4.52,0.93,1.028,0.4
'FALSE POSITIVE',133.72106,86.52,0.102,0.31,19.6,5986.0,4.51,0.93,1.03,0.5
'FALSE POSITIVE',139.0825,89.95,0.093,0.027,15.55,6739.0,4.36,1.25,1.29,0.23
CONFIRMED,121.485799,89.95,0.045,0.09373,7.53,5826.0,4.42,1.082,1.138,1.3
CONFIRMED,154.16105,88.81,0.196,0.0362,41.8,5685.0,4.38,1.06,0.984,7.2
'FALSE POSITIVE',133.30724,88.81,0.027,0.0243,7.6,6167.0,4.47,1,1.09,0.4
'FALSE POSITIVE',135.32462,81.93,0.034,0.17915,4.426,5817.0,4.31,1.13,0.94,9.2
'FALSE POSITIVE',133.9381,88.24,0.021,0.0165,3.7,6361.0,4.41,1.11,1.15,0.91
CONFIRMED,150.86,89.38,0.762,0.01782,109,5886.0,4.54,0.9,1.002,0.4
'FALSE POSITIVE',358.2289,80.79,0.058,0.02366,4,5583.0,4.6,0.84,1.03,NA
'FALSE POSITIVE',365.3457,84.8,0.137,0.082,11.3,6032.0,4.49,0.98,1.09,NA
'FALSE POSITIVE',133.66325,87.66,0.013,0.0217,2.25,4482.0,4.68,0.597,0.627,13.7
'FALSE POSITIVE',137.12916,32.09,0.02,0.54,1.69,6338.0,4.19,1.46,1.2,3.65
'FALSE POSITIVE',132.955,88.24,0.057,0.0093,13.4,5706.0,4.56,0.85,0.95,0.5
'FALSE POSITIVE',133.26388,84.8,0.016,0.0221,7.57,4696.0,4.7,0.618,0.701,0.9
'FALSE POSITIVE',133.3143,89.95,0.066,0.0182,15.9,6282.0,4.45,1.05,1.132,0.2
'FALSE POSITIVE',133.685,57.3,0.016,1.25,2.5758,5926.0,4.53,0.91,1.01,0.3
'FALSE POSITIVE',137.3408,80.79,0.092,0.0792,6.08,6302.0,3.93,2.09,1.37,3.08
'FALSE POSITIVE',134.5916,84.8,0.049,0.0141,8.1,5552.0,4.58,0.81,0.91,0.5
'FALSE POSITIVE',134.778,78.5,0.064,0.01,4.1,5255.0,4.5,0.8,0.78,13.9
'FALSE POSITIVE',136.4956,89.38,0.091,0.0181,21.6,5674.0,4.57,0.84,0.945,0.4
CONFIRMED,225.0355,89.38,0.252,0.02104,53.7,5685.0,4.38,1.06,0.984,7.2
'FALSE POSITIVE',133.71726,89.95,0.043,0.0193,4.71,6654.0,4.27,1.37,1.26,1.87
'FALSE POSITIVE',133.5168,89.95,0.044,0.0174,3.345,4881.0,3.71,2.23,0.919,14.0
'FALSE POSITIVE',133.80677,22.35,0.015,0.2462,1.32,5725.0,4.56,0.85,0.959,0.5
'FALSE POSITIVE',358.2252,76.2,0.059,0.01847,3.2,6179.0,4.55,0.91,1.09,NA
'FALSE POSITIVE',178.14683,85.94,0.012,0.0192,3.4,5754.0,4.51,0.89,0.946,3.0
'FALSE POSITIVE',138.7318,87.09,0.121,0.1186,16.91,7249.0,4.22,1.54,1.45,1.13
'FALSE POSITIVE',139.7954,88.24,0.07,0.0168,18.1,5720.0,4.37,1.03,0.91,9.7
'FALSE POSITIVE',146.0555,89.38,0.555,0.34,81,6170.0,4.32,1.19,1.08,4.1
'FALSE POSITIVE',139.1028,89.95,0.067,0.0071,22.3,5015.0,4.495,0.816,0.76,NA
'FALSE POSITIVE',139.8179,88.81,0.102,0.0074,32,5015.0,4.495,0.816,0.76,NA
'FALSE POSITIVE',157.4206,89.95,0.166,0.3789,12.04,4495.0,4.537,0.741,0.69,NA
'FALSE POSITIVE',140.69805,86.52,0.112,0.62,23,5693.0,4.53,0.87,0.931,3.1
'FALSE POSITIVE',134.21607,30.94,0.017,0.3834,1.541,5710.0,4.45,0.94,0.914,7.0
'FALSE POSITIVE',133.5841,60.73,0.018,0.068,2.01,5919.0,4.52,0.91,1.01,0.6
'FALSE POSITIVE',143.283,79.64,0.105,0.139,6.1,6146.0,4.35,1.14,1.06,3.8
CONFIRMED,287.2894,89.95,0.469,0.02925,100,5685.0,4.38,1.06,0.984,7.2
'FALSE POSITIVE',133.75047,59.01,0.013,0.0144,1.82,6002.0,4.46,0.98,1.019,2.5
CONFIRMED,138.5036,89.38,0.092,0.01484,19.6,5685.0,4.38,1.06,0.984,7.2
'FALSE POSITIVE',355.08331,75.06,0.033,0.48,4.6,5435.0,4.52,0.92,1.01,NA
'FALSE POSITIVE',133.9687,52.71,0.028,0.542,2.27,6129.0,4.47,1,1.07,0.8
'FALSE POSITIVE',134.2805,85.37,0.04,0.021,8,5088.0,4.55,0.76,0.75,13.7
'FALSE POSITIVE',133.1285,63.6,0.028,0.028,2.2,5175.0,4.64,0.71,0.813,1.0
'FALSE POSITIVE',134.3146,89.95,0.071,0.0184,18.76,6078.0,4.25,1.27,1.06,5.7
'FALSE POSITIVE',134.2018,88.24,0.033,0.0185,6.6,5994.0,4.48,0.96,1.02,1.8
'FALSE POSITIVE',152.8801,89.95,0.277,0.021,31.7,6282.0,4.25,1.32,1.14,3.67
'FALSE POSITIVE',172.01896,89.38,0.04,0.038,3.6,5559.0,4.58,0.81,0.913,0.4
'FALSE POSITIVE',170.67875,89.38,0.048,0.031,10.2,5853.0,4.54,0.88,0.989,0.3
CONFIRMED,134.029405,89.95,0.047,0.09633,10.36,5731.0,4.45,1.039,1.105,1.2
'FALSE POSITIVE',171.62196,88.81,0.042,0.00081,18.814993,5248.0,4.55,0.87,0.97,NA
CONFIRMED,180.0053,87.09,0.158,0.04533,17.8,6514.0,4.4,1.15,1.208,0.28
CONFIRMED,141.1925,88.24,0.254,0.04204,28.7,6514.0,4.4,1.15,1.208,0.28
CONFIRMED,136.329004,86.52,0.059,0.1006,10.34,5786.0,4.42,1.09,1.127,2.1
'FALSE POSITIVE',135.2582,68.18,0.05,0.097,2.78,8595.0,4.13,1.95,1.89,0.7
CONFIRMED,124.063,84.8,0.053,0.02208,7.86,5190.0,4.49,0.888,0.883,9.4
'FALSE POSITIVE',357.51931,84.22,0.078,0.0545,9.61,5636.0,4.5,0.95,1.05,NA
'FALSE POSITIVE',157.3875,78.5,0.179,0.03557,4.58,5360.0,4.62,0.76,0.86,0.6
'FALSE POSITIVE',135.23255,83.65,0.038,0.22312,7.144,5728.0,4.51,0.89,0.937,3.6
'FALSE POSITIVE',134.6443,70.47,0.031,0.11536,2.658,6250.0,4.43,1.07,1.11,1.2
'FALSE POSITIVE',357.32138,77.92,0.059,0.249,5.1,5335.0,4.52,0.9,0.99,NA
CONFIRMED,125.33981,86.52,0.085,0.03243,12.6,5190.0,4.49,0.888,0.883,9.4
'FALSE POSITIVE',277.0581,89.38,0.605,0.222,115,5010.0,4.58,0.73,0.733,13.9
'FALSE POSITIVE',456.8444,89.38,0.605,0.1049,107.1,5010.0,4.58,0.73,0.733,13.9
'FALSE POSITIVE',448.59326,30.94,0.02,0.3533,1.52,5984.0,4.17,1.47,1.16,NA
'FALSE POSITIVE',134.5067,28.07,0.034,0.3221,1.46,5175.0,3.2,5.77,1.923,1.25
'FALSE POSITIVE',366.70335,88.24,0.2,0.36,38,5654.0,4.51,0.95,1.05,NA
'FALSE POSITIVE',134.70075,89.95,0.05,0.025,6.258,6510.0,4.2,1.47,1.24,2.85
'FALSE POSITIVE',367.69262,85.94,0.124,0.5,17.6,5547.0,4.7,0.74,0.99,NA
'FALSE POSITIVE',134.22296,54.43,0.015,0.1098,1.627,5527.0,4.38,0.98,0.845,13.4
'FALSE POSITIVE',356.79524,88.24,0.137,0.1456,28.55,5940.0,4.52,0.95,1.08,NA
'FALSE POSITIVE',133.13692,86.52,0.012,0.0353,2.8,5311.0,4.48,0.85,0.8,13.7
'FALSE POSITIVE',135.97089,89.38,0.263,0.43,123,5429.0,4.57,0.8,0.863,3.6
'FALSE POSITIVE',137.57581,80.21,0.068,0.02909,5.47,6021.0,3.87,2.15,1.24,4.4
'FALSE POSITIVE',359.0582,83.65,0.121,0.053,8.6,5141.0,4.49,0.92,0.96,NA
'FALSE POSITIVE',134.3139,89.95,0.072,0.028,21,4627.0,4.66,0.628,0.654,13.9
'FALSE POSITIVE',133.4479,89.95,0.032,0.0169,6.34,5498.0,4.59,0.79,0.897,0.6
'FALSE POSITIVE',134.3046,89.95,0.078,0.022,22.2,5321.0,4.58,0.77,0.833,4.5
'FALSE POSITIVE',137.8672,87.09,0.079,0.029,17.9,5119.0,4.65,0.7,0.8,0.7
'FALSE POSITIVE',133.96182,87.09,0.023,0.0197,6.6,6270.0,4.45,1.04,1.13,0.3
'FALSE POSITIVE',133.6095,86.52,0.021,0.0147,6,4439.0,4.69,0.587,0.619,13.5
'FALSE POSITIVE',132.86438,89.95,0.181,0.0778,28.95,6741.0,4.26,1.39,1.29,1.59
'FALSE POSITIVE',170.24404,80.21,0.039,0.04787,5.18,5303.0,4.49,0.84,0.795,13.2
'FALSE POSITIVE',133.44722,80.79,0.015,0.0353,4.44,5756.0,3.55,3.47,1.567,2.27
'FALSE POSITIVE',134.7628,88.81,0.074,0.0272,22.4,5796.0,4.55,0.87,0.977,0.4
'FALSE POSITIVE',134.578,71.05,0.036,0.01794,2.83,6049.0,4.5,0.95,1.052,0.3
'FALSE POSITIVE',134.2525,89.95,0.039,0.0101,6.84,6197.0,4.27,1.27,1.1,4.2
'FALSE POSITIVE',136.23827,87.09,0.069,0.01104,18.309056,5436.0,4.56,0.8,0.86,4.2
CONFIRMED,136.871,86.52,0.093,0.0215,13.2,6082.0,4.38,1.09,1.04,4.0
CONFIRMED,132.4379,87.66,0.124,0.02169,17.5,6082.0,4.38,1.09,1.04,4.0
'FALSE POSITIVE',179.8354,89.95,0.04,0.014,8.15,5894.0,4.427,1.006,0.987,NA
'FALSE POSITIVE',135.8044,80.21,0.075,0.01607,5.3,5264.0,4.5,0.83,0.79,13.8
'FALSE POSITIVE',134.1769,85.37,0.022,0.0119,8,5159.0,4.54,0.78,0.765,13.4
CONFIRMED,147.6982,85.37,0.14,0.01923,11.3,6314.0,4.45,1.06,1.14,0.26
CONFIRMED,137.748,84.22,0.106,0.01065,8.6,6314.0,4.45,1.06,1.14,0.26
'FALSE POSITIVE',135.1622,89.95,0.07,0.0106,10.06,6494.0,4.4,1.14,1.203,0.26
'FALSE POSITIVE',176.7165,85.94,0.148,0.093,14.8,5993.0,4.51,0.93,1.033,0.4
'FALSE POSITIVE',155.29615,88.81,0.221,0.1137,26.4,6135.0,4.02,1.79,1.22,4.43
'FALSE POSITIVE',183.40696,89.95,0.158,0.1835,130.6,4021.0,4.74,0.52,0.543,13.9
CONFIRMED,171.4064,87.66,0.052,0.0376,16.1,4061.0,4.74,0.524,0.549,13.9
CONFIRMED,170.6327,88.24,0.068,0.0349,21,4061.0,4.74,0.524,0.549,13.9
CONFIRMED,155.2024,88.81,0.129,0.0435,40,4061.0,4.74,0.524,0.549,13.9
CONFIRMED,133.6121,86.52,0.033,0.0194,10,4061.0,4.74,0.524,0.549,13.9
CONFIRMED,133.2785,80.21,0.013,0.015,4,4061.0,4.74,0.524,0.549,13.9
'FALSE POSITIVE',178.24254,88.24,0.046,0.27431,12.785,4069.0,4.572,0.653,0.581,NA
'FALSE POSITIVE',134.02012,70.47,0.015,0.206,2.388,6337.0,4.43,1.07,1.144,0.45
'FALSE POSITIVE',136.04624,87.66,0.082,0.10889,7.121,7221.0,4.01,2.08,1.6,1.51
'FALSE POSITIVE',133.38678,21.2,0.018,0.39853,1.427,5301.0,4.59,0.76,0.829,4.2
'FALSE POSITIVE',134.36513,79.07,0.028,0.0677,4.96,5353.0,4.47,0.86,0.81,12.9
'FALSE POSITIVE',133.38726,18.33,0.023,0.34252,1.363,5392.0,3.44,4.21,1.762,1.6
'FALSE POSITIVE',356.3841,83.08,0.069,0.023,5.5,6117.0,4.69,0.78,1.07,NA
'FALSE POSITIVE',134.0595,88.24,0.049,0.01183,9.6,6290.0,4.41,1.09,1.12,1.35
'FALSE POSITIVE',133.5492,78.5,0.027,0.0139,4.7,6318.0,4.3,1.25,1.14,3.14
'FALSE POSITIVE',133.603053,32.66,0.009,0.61,1.57,5227.0,4.478,0.847,0.787,NA
'FALSE POSITIVE',137.07139,85.37,0.055,0.3242,11.34,5859.0,4.54,0.89,0.993,0.5
'FALSE POSITIVE',360.3841,89.95,0.108,0.1607,22.972,5347.0,4.476,0.863,0.813,NA
